order_id,user_id,order_date,days_since_last_order,product_id,product_category,order_value,is_repeat_order
1,5239,2023-04-25,,58,Pain Relief,1151.09,0
2,1144,2023-10-30,,378,Pain Relief,1063.54,0
3,3457,2023-09-16,,17,Pain Relief,276.49,0
4,4932,2023-08-18,15.0,14,Skin Care,418.43,1
5,4828,2023-12-24,,143,Digestive Health,1323.56,0
6,3463,2023-02-17,7.0,175,Heart Care,359.9,1
7,3113,2023-08-24,3.0,50,Heart Care,1294.12,1
8,4393,2023-11-13,41.0,64,Vitamins,256.38,1
9,7254,2023-01-24,,442,Heart Care,929.43,0
10,5418,2023-04-30,,117,Digestive Health,540.67,0
11,7099,2023-07-09,11.0,52,Vitamins,525.26,1
12,2911,2023-11-08,,108,Cold & Cough,510.42,0
13,5202,2023-08-25,,88,Skin Care,1134.32,0
14,3109,2023-12-17,,139,Cold & Cough,1079.02,0
15,2657,2023-01-17,,432,Digestive Health,1197.6,0
16,6595,2023-10-18,,162,Vitamins,511.45,0
17,7180,2023-11-26,26.0,368,Heart Care,437.05,1
18,3759,2023-08-08,38.0,74,Heart Care,338.5,1
19,7355,2023-09-18,,299,Vitamins,638.7,0
20,4043,2023-03-20,,47,Digestive Health,213.61,0
21,5141,2023-07-17,,82,Digestive Health,1068.65,0
22,3127,2023-12-15,,306,Vitamins,864.3,0
23,5905,2023-06-24,42.0,59,Cold & Cough,1344.46,1
24,914,2023-05-15,,151,Vitamins,363.51,0
25,7962,2023-11-17,,257,Digestive Health,391.18,0
26,2445,2023-03-20,,431,Cold & Cough,835.34,0
27,3064,2023-11-03,,391,Diabetes Care,878.16,0
28,2656,2023-05-03,20.0,251,Pain Relief,301.02,1
29,475,2023-09-06,,124,Skin Care,1428.38,0
30,6685,2023-03-07,,36,Digestive Health,869.15,0
31,5405,2023-10-04,14.0,244,Skin Care,372.92,1
32,6188,2023-12-10,26.0,374,Cold & Cough,421.55,1
33,5324,2023-05-07,8.0,192,Vitamins,1364.48,1
34,1841,2023-10-29,,33,Heart Care,178.4,0
35,1805,2023-04-28,,4,Pain Relief,1105.59,0
36,553,2023-09-21,,464,Pain Relief,1310.51,0
37,1950,2023-10-20,,143,Cold & Cough,805.31,0
38,4721,2023-02-18,13.0,243,Diabetes Care,1209.24,1
39,795,2023-01-28,30.0,338,Vitamins,628.3,1
40,5517,2023-02-25,22.0,335,Cold & Cough,282.86,1
41,2037,2023-08-05,,99,Diabetes Care,873.99,0
42,1504,2023-08-15,,143,Vitamins,487.24,0
43,6620,2023-11-30,,442,Digestive Health,892.94,0
44,4429,2023-03-27,,429,Pain Relief,1458.14,0
45,3330,2023-03-26,4.0,249,Vitamins,438.56,1
46,3105,2023-08-05,19.0,2,Vitamins,508.02,1
47,5707,2023-04-08,10.0,491,Cold & Cough,1493.82,1
48,2431,2023-06-10,,112,Pain Relief,931.89,0
49,469,2023-01-30,,26,Skin Care,793.66,0
50,7871,2023-11-01,,261,Pain Relief,1299.31,0
51,557,2023-10-19,,346,Digestive Health,467.53,0
52,2017,2023-08-03,,297,Skin Care,203.65,0
53,5386,2023-12-09,14.0,299,Skin Care,855.76,1
54,5868,2023-12-10,,161,Diabetes Care,508.58,0
55,5288,2023-01-05,,154,Vitamins,576.84,0
56,3755,2023-10-03,,319,Skin Care,1494.73,0
57,1747,2023-05-06,5.0,260,Heart Care,328.82,1
58,3028,2023-12-01,40.0,146,Diabetes Care,741.55,1
59,4334,2023-02-23,43.0,5,Cold & Cough,1253.09,1
60,7692,2023-10-11,,450,Diabetes Care,507.03,0
61,1274,2023-12-18,14.0,140,Heart Care,966.52,1
62,5196,2023-02-17,4.0,437,Heart Care,832.3,1
63,5197,2023-06-20,,217,Digestive Health,523.52,0
64,6318,2023-08-15,,67,Cold & Cough,1472.73,0
65,4520,2023-02-08,,362,Vitamins,907.22,0
66,7742,2023-07-09,,453,Cold & Cough,1370.3,0
67,4772,2023-06-07,,283,Diabetes Care,730.21,0
68,2988,2023-07-03,,461,Digestive Health,1462.46,0
69,1721,2023-07-28,36.0,350,Diabetes Care,1050.36,1
